# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,7.684229784190838020e-01,2.349506958511975510e-02,1.096075294436044345e+00,1.539933210828253046e-02,5.299999999999999822e+00,4.582575694955840495e-01
1.274274985703133800e-01,7.697992778871908248e-01,2.921553690907274445e-02,1.081961589032590210e+00,1.841173502058492117e-02,6.000000000000000000e+00,0.000000000000000000e+00
1.623776739188721729e-01,7.336595285496834151e-01,1.362243191209900825e-02,1.031107236619859258e+00,1.515295937179153563e-02,6.400000000000000355e+00,4.898979485566355985e-01
2.069138081114789696e-01,7.149798514714590381e-01,1.847613668920270596e-02,1.016985203759577683e+00,1.611627293369314456e-02,7.099999999999999645e+00,2.999999999999999889e-01
2.636650898730358294e-01,7.177926141706979513e-01,2.352469541133743805e-02,9.782224960475242037e-01,1.337261001062011248e-02,8.000000000000000000e+00,0.000000000000000000e+00
3.359818286283781652e-01,6.948500378450888082e-01,3.671474287490658628e-02,9.396654995914832664e-01,2.521966005134070044e-02,9.099999999999999645e+00,2.999999999999999889e-01
4.281332398719393528e-01,7.203544407800201999e-01,3.181254490689927605e-02,9.089238633205785067e-01,2.183042652833996206e-02,1.059999999999999964e+01,6.633249580710800508e-01
5.455594781168519036e-01,7.525932078683116311e-01,1.858923284091773889e-02,8.873292993323416145e-01,2.126082132996991170e-02,1.230000000000000071e+01,9.000000000000000222e-01
6.951927961775605791e-01,7.947696278695657313e-01,2.188279205816576201e-02,8.397717021190356235e-01,1.242782488824633984e-02,1.459999999999999964e+01,4.898979485566355985e-01
8.858667904100825385e-01,9.041713251983134469e-01,3.445644675284017383e-02,8.196545805800902196e-01,1.837153918512354073e-02,1.769999999999999929e+01,1.004987562112088950e+00
1.128837891684688843e+00,1.008331517039255942e+00,3.421571908063859163e-02,7.743585890898395663e-01,1.832282598805304655e-02,2.369999999999999929e+01,1.100000000000000089e+00
1.438449888287663070e+00,1.247499255826205466e+00,5.476407626465647216e-02,7.540295527959886002e-01,1.640839443364218095e-02,3.870000000000000284e+01,1.594396437527379717e+01
1.832980710832435634e+00,1.509828915385400538e+00,4.604719849798079995e-02,7.443218460693917793e-01,1.772864193179457884e-02,1.547900000000000091e+03,4.484374749059226815e+03
2.335721469090121349e+00,1.974081424079410896e+00,7.291916750185288565e-02,7.731267369269294587e-01,1.654186793986160975e-01,9.798100000000000364e+03,6.595496167082504144e+03
2.976351441631317485e+00,2.531842696977622431e+00,6.844416421586431432e-02,7.357301375683892308e-01,1.056552791030641002e-02,1.500100000000000000e+04,0.000000000000000000e+00
3.792690190732249889e+00,3.226675465050525382e+00,1.309872772310759770e-01,8.914806633877528919e-01,3.055977112267219686e-01,1.500100000000000000e+04,0.000000000000000000e+00
4.832930238571751858e+00,4.220818221208426202e+00,9.183750313884495031e-02,1.112051412076982881e+00,3.578073120255623185e-01,1.500100000000000000e+04,0.000000000000000000e+00
6.158482110660260744e+00,5.434848090693100708e+00,1.147062533325075989e-01,1.172049528766702320e+00,5.324989234506032065e-02,1.500100000000000000e+04,0.000000000000000000e+00
7.847599703514610781e+00,7.116213750521642289e+00,1.350568176311137125e-01,1.438036898208949976e+00,1.233480762719288831e-01,1.500100000000000000e+04,0.000000000000000000e+00
1.000000000000000000e+01,9.243699582671704107e+00,7.707596123657398102e-02,1.955922723928652740e+00,3.527420983775754748e-01,1.500100000000000000e+04,0.000000000000000000e+00
